,p_5,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95
76,0.33,0.35000000000000003,0.38,0.4,0.43,0.4469999999999999,0.46,0.47600000000000026,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.6504999999999995
77,0.33,0.35000000000000003,0.38,0.39800000000000013,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.6504999999999995
78,0.33,0.35000000000000003,0.38,0.39,0.43,0.44,0.46,0.47600000000000026,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.66
79,0.33,0.35000000000000003,0.38,0.39,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.66
80,0.33,0.35000000000000003,0.38,0.39,0.43,0.44,0.46,0.47600000000000026,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.66
81,0.33,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.66
82,0.33,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.47600000000000026,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.66
83,0.33,0.35000000000000003,0.38,0.39800000000000013,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.66
84,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.66
85,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.47600000000000026,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.66
